email,date,subject,text,label
alice@company.com,2025-09-01 08:15,Performance Review Reminder,"Reminder: Your quarterly performance review is scheduled for Thursday at 2 PM. Please confirm your availability.",important
security@alerts.com,2025-09-02 03:42,Account Suspension Notice,"URGENT: Your account has been suspended due to suspicious activity. Click here to verify your identity.",spam
hr@company.com,2025-09-03 09:00,Timesheet Submission,"Team, please submit your timesheets by EOD Friday to avoid payroll delays. Let me know if you need help.",important
promo@rewards.com,2025-09-04 11:20,You’ve Won a $500 Gift Card!,"Congratulations! You've been selected for a $500 gift card. Claim now by clicking the link below.",spam
jane@client.com,2025-09-05 14:10,Dashboard Feedback,"Client feedback: They loved the new dashboard layout. Let's discuss next steps tomorrow during our call.",important
offers@healthboost.com,2025-09-06 07:55,BOGO Supplement Sale,"Limited-time offer: Buy one, get one free on all supplements. Ends tonight! Don’t miss out.",spam
it@company.com,2025-09-07 22:00,Server Migration Notice,"FYI: The server migration will begin at 10 PM Saturday. Expect downtime until 2 AM. Backup your files.",important
contest@teslagiveaway.com,2025-09-08 12:30,Win a Tesla Model 3!,"Win a brand new Tesla Model 3! Enter your email to qualify. No purchase necessary.",spam
finance@company.com,2025-09-09 10:45,Budget Proposal Review,"Please review the attached budget proposal before our Monday meeting. Feedback is appreciated.",important
support@antivirus.com,2025-09-10 06:00,Subscription Expired,"Your antivirus subscription has expired. Renew now to stay protected and avoid security risks.",spam
design@company.com,2025-09-11 16:20,Design Sync Notes,"Notes from today's design sync are uploaded to the shared folder. Let me know if anything is missing.",important
wealth@fastcash.com,2025-09-12 13:15,Make $10K/month from Home,"Get rich quick! Learn how to earn $10,000/month from home with zero experience. Sign up today!",spam
security@company.com,2025-09-13 02:30,Unusual Login Alert,"Security alert: Unusual login detected from a new device. Was this you? Please verify immediately.",important
events@cryptomasterclass.com,2025-09-14 18:00,Last Chance to Join,"Act fast! Only 3 spots left in our crypto investment masterclass. Reserve your seat now.",spam
strategy@company.com,2025-09-15 09:30,Q4 Strategy Agenda,"Draft agenda for the Q4 strategy session is ready. Feedback welcome by Wednesday.",important
